file,num_loops,num_instructions,num_blocks,num_temporaries,num_calls,num_constants
BuscaBinária/BuscaBinária__sroa_licm_instcombine_mem2reg_dce_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_instcombine_mem2reg_sccp_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_dce_instcombine_sccp_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_dce_instcombine_mem2reg_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_dce_sccp_instcombine_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_dce_sccp_mem2reg_instcombine.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_dce_mem2reg_instcombine_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_dce_mem2reg_sccp_instcombine.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_sccp_instcombine_dce_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_sccp_instcombine_mem2reg_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_sccp_dce_instcombine_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_sccp_dce_mem2reg_instcombine.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_sccp_mem2reg_instcombine_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_sccp_mem2reg_dce_instcombine.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_mem2reg_instcombine_dce_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_mem2reg_instcombine_sccp_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_mem2reg_dce_instcombine_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_mem2reg_dce_sccp_instcombine.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_mem2reg_sccp_instcombine_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_licm_mem2reg_sccp_dce_instcombine.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_instcombine_licm_sccp_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_instcombine_licm_mem2reg_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_instcombine_sccp_licm_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_instcombine_sccp_mem2reg_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_instcombine_mem2reg_licm_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_instcombine_mem2reg_sccp_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_licm_instcombine_sccp_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_licm_instcombine_mem2reg_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_licm_sccp_instcombine_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_licm_sccp_mem2reg_instcombine.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_licm_mem2reg_instcombine_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_licm_mem2reg_sccp_instcombine.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_sccp_instcombine_licm_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_sccp_instcombine_mem2reg_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_sccp_licm_instcombine_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_sccp_licm_mem2reg_instcombine.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__sroa_dce_sccp_mem2reg_instcombine_licm.ll,0,43,10,137,3,22
